Close,Open,Low,High,Date,Price
10167.2685546875,9463.60546875,9450.8994140625,10199.5654296875,2020-05-31,10167.26849724658
9529.8037109375,10162.9736328125,9460.5712890625,10182.3408203125,2020-06-01,7260.4452237756395
9656.7177734375,9533.7607421875,9471.8466796875,9682.859375,2020-06-02,6378.682994081742
9800.63671875,9655.8544921875,9525.2470703125,9887.6103515625,2020-06-03,7150.729179914266
9665.533203125,9800.2158203125,9663.216796875,9869.2373046875,2020-06-04,7421.90466284715
9653.6796875,9664.904296875,9591.0244140625,9773.431640625,2020-06-05,7592.830484046164
9758.8525390625,9653.0029296875,9458.150390625,9768.498046875,2020-06-06,7994.048623214907
9771.4892578125,9760.0634765625,9675.8857421875,9782.306640625,2020-06-07,7316.8939059321565
9795.7001953125,9774.3603515625,9664.7197265625,9836.369140625,2020-06-08,8564.170133440122
9870.0947265625,9794.119140625,9728.291015625,9908.896484375,2020-06-09,8886.362345166313
9321.78125,9870.078125,9263.0693359375,9938.2978515625,2020-06-10,8421.889084855413
9480.84375,9320.6904296875,9285.8515625,9540.4658203125,2020-06-11,7996.535655825571
9475.27734375,9480.7353515625,9396.009765625,9493.2119140625,2020-06-12,8354.155787415166
9386.7880859375,9477.5537109375,9347.59375,9482.2705078125,2020-06-13,8062.949747391966
9450.7021484375,9386.03515625,8990.17578125,9504.8603515625,2020-06-14,8562.966918872378
9538.0244140625,9454.2666015625,9400.4453125,9579.4306640625,2020-06-15,8578.337559455125
9480.2548828125,9533.7841796875,9327.33984375,9540.4228515625,2020-06-16,8050.181664015972
9411.8408203125,9481.5673828125,9328.3955078125,9482.7822265625,2020-06-17,7741.849642160942
9288.0185546875,9410.2939453125,9274.2958984375,9440.8759765625,2020-06-18,7622.792751193498
9332.3408203125,9290.9599609375,9247.3798828125,9394.9716796875,2020-06-19,7638.8968650667175
9303.6298828125,9330.9267578125,9300.4306640625,9401.107421875,2020-06-20,7511.702856119764
9648.7177734375,9300.9150390625,9296.8720703125,9655.0732421875,2020-06-21,7285.823063565321
9629.658203125,9644.076171875,9547.2470703125,9670.541015625,2020-06-22,7879.361314006993
9313.6103515625,9632.1494140625,9278.2333984375,9680.3671875,2020-06-23,7632.986564746641
9264.8134765625,9314.126953125,9095.32421875,9340.1611328125,2020-06-24,8338.254576197005
9162.91796875,9260.9951171875,9101.73828125,9310.5166015625,2020-06-25,7668.709497292134
9045.390625,9167.82421875,8998.216796875,9207.810546875,2020-06-26,7053.14254552205
9143.58203125,9048.4609375,8975.525390625,9197.546875,2020-06-27,7817.532529506719
9190.8544921875,9140.029296875,9041.8759765625,9237.5732421875,2020-06-28,7536.397780148034
9137.9931640625,9185.5810546875,9084.837890625,9217.8359375,2020-06-29,7631.03322926916
9228.3251953125,9145.9853515625,9104.7353515625,9309.7548828125,2020-06-30,8545.98038149349
9123.41015625,9231.1396484375,9036.623046875,9274.962890625,2020-07-01,7923.22414654541
9087.3037109375,9124.8427734375,9058.794921875,9202.3447265625,2020-07-02,7050.7897884295935
9132.48828125,9084.2333984375,9053.6298828125,9183.2958984375,2020-07-03,7677.538684698797
9073.9423828125,9126.0908203125,8977.015625,9162.18359375,2020-07-04,8009.708741433259
9375.474609375,9072.849609375,9058.6640625,9375.474609375,2020-07-05,7765.545047867519
