date,price
2020-05-31,10167.26849724658
2020-06-01,12210.356380254689
2020-06-02,12492.511282331567
2020-06-03,12389.081696077536
2020-06-04,12524.229563450692
2020-06-05,12604.402072367779
2020-06-06,13848.996834029482
2020-06-07,14388.965232524504
2020-06-08,14904.787126279141
2020-06-09,14964.269195560246
2020-06-10,13045.430459159637
2020-06-11,12910.90769388205
2020-06-12,13297.793005173862
2020-06-13,12587.68791253219
2020-06-14,12099.470151377209
2020-06-15,12281.683024297892
2020-06-16,12769.592342667725
2020-06-17,13104.904022724639
2020-06-18,12497.87279337304
2020-06-19,12559.725729909558
2020-06-20,11941.020623697477
2020-06-21,12676.272997472277
2020-06-22,13711.78999342498
2020-06-23,13712.023608680911
2020-06-24,12715.519507827641
2020-06-25,12582.649117673784
2020-06-26,11515.154583788648
2020-06-27,12055.788898122315
2020-06-28,12059.647182745677
2020-06-29,11653.77383634424
2020-06-30,11558.806406255142
2020-07-01,12523.165320036958
2020-07-02,13102.26777770317
2020-07-03,12579.322436663082
2020-07-04,12547.581447063103
2020-07-05,12598.918892664042
2020-07-06,12377.556244735224
2020-07-07,12174.900285602474
2020-07-08,12861.06120632948
2020-07-09,12147.796373047018
2020-07-10,11558.047869065489
2020-07-11,11966.812227219762
2020-07-12,11830.127904531335
2020-07-13,11489.450687236907
2020-07-14,12589.427320052839
2020-07-15,12461.07210500397
2020-07-16,13503.723278105186
2020-07-17,14522.19231941642
2020-07-18,13030.864327977779
2020-07-19,12772.348290300475
2020-07-20,13277.344881039842
2020-07-21,13473.989731827542
2020-07-22,13408.494352530226
2020-07-23,12467.044282449599
2020-07-24,12660.717853094324
2020-07-25,13124.400384226446
2020-07-26,12457.829792741413
2020-07-27,13242.456449127949
2020-07-28,13679.81185006437
2020-07-29,13922.761134224846
2020-07-30,14904.65346951889
2020-07-31,14666.506583708493
2020-08-01,15415.136752577535
2020-08-02,14223.792819545073
2020-08-03,14417.579715627751
2020-08-04,14109.687820898685
2020-08-05,14173.953444699237
2020-08-06,15532.377676824937
2020-08-07,15131.346196397248
2020-08-08,14397.290315307706
2020-08-09,14241.449462608492
2020-08-10,15048.612459557557
2020-08-11,14316.035296905326
2020-08-12,14655.358126953764
2020-08-13,15430.738023251602
2020-08-14,15959.143889821622
2020-08-15,15473.668648931005
2020-08-16,16146.947024769392
2020-08-17,15938.899978909252
2020-08-18,15827.367838468781
2020-08-19,15405.580186245435
2020-08-20,15307.37311039973
2020-08-21,15218.086929310544
2020-08-22,15928.526612163776
2020-08-23,15928.043079939507
2020-08-24,15741.210322013561
2020-08-25,14489.842808687757
2020-08-26,15383.212046158089
2020-08-27,15944.27674277389
2020-08-28,14792.13371893192
2020-08-29,15338.268586134538
2020-08-30,15311.496784271094
2020-08-31,15392.074702334148
2020-09-01,15837.82640026547
2020-09-02,15040.780783121449
2020-09-03,14445.122224504701
2020-09-04,14188.821209164107
2020-09-05,14672.927932311091
2020-09-06,14354.192363414153
2020-09-07,14278.227671007671
2020-09-08,14614.981060502883
2020-09-09,15126.821659188776
2020-09-10,14504.563663363244
2020-09-11,14426.366791778877
2020-09-12,14599.769315826406
2020-09-13,14210.04625315608
2020-09-14,14799.901021318987
2020-09-15,15108.830963280037
2020-09-16,15620.678993331248
2020-09-17,14730.885578789117
2020-09-18,14788.44712046742
2020-09-19,15396.027244527126
2020-09-20,15201.588941296091
2020-09-21,14690.600107618313
2020-09-22,15074.388238089792
2020-09-23,14679.864546143875
2020-09-24,15019.04487957407
2020-09-25,15065.932102545672
2020-09-26,14842.787631264662
2020-09-27,14317.556191190977
2020-09-28,14324.703824595783
2020-09-29,14968.285439918054
2020-09-30,14118.291802743308
2020-10-01,13966.698343623753
2020-10-02,14541.7904709231
2020-10-03,14390.935052767989
2020-10-04,14756.112173917723
2020-10-05,14466.433962725401
2020-10-06,14237.619829644449
2020-10-07,15060.348004861273
2020-10-09,15415.330646457445
2020-10-10,15019.467704089522
2020-10-13,15298.481884768076
2020-10-14,15275.63244557774
2020-10-15,15287.834971314642
2020-10-16,15458.420585839795
2020-10-17,16423.525766627346
2020-10-18,15244.000942797513
2020-10-19,15481.922257525242
2020-10-20,16084.737869927765
2020-10-21,16703.3038253306
2020-10-22,16882.929031884993
2020-10-23,16836.654176139833
2020-10-24,16790.6295571054
2020-10-26,16734.065099456944
2020-10-27,16523.388250790038
2020-10-28,17087.605403575908
2020-10-29,17399.800038591842
2020-10-30,17344.70259706463
2020-10-31,16863.321137396444
2020-11-01,17112.557748094943
2020-11-02,17926.515797300966
2020-11-03,17345.82773995859
2020-11-04,17253.127717004983
2020-11-05,17786.037692831185
2020-11-06,19051.741692780204
2020-11-07,19446.385938824133
2020-11-08,18710.184436878695
2020-11-09,18811.508054072223
2020-11-10,19622.615375986992
2020-11-11,18911.507935977646
2020-11-12,19183.78841364245
2020-11-13,19617.37855952383
2020-11-14,19302.25567576014
2020-11-15,18891.617356057577
2020-11-16,18943.029660672244
2020-11-17,19974.139373741888
2020-11-18,20289.212694161237
2020-11-19,20667.95084396652
2020-11-20,21037.923303123243
2020-11-21,21223.210152395288
2020-11-22,21345.99630010471
2020-11-23,20906.47854287797
2020-11-24,21118.060398570757
2020-11-25,21966.817250312888
2020-11-26,21976.225382294695
2020-11-27,20819.45026746526
2020-11-28,20463.781679260443
2020-11-29,21089.18976720255
2020-11-30,21227.073523699837
2020-12-01,22047.45415085386
2020-12-02,22034.47817349858
2020-12-03,22146.732007994357
2020-12-04,22270.28059887688
2020-12-05,21974.289819186837
2020-12-06,21856.905471626967
2020-12-07,22034.742219073025
2020-12-08,22408.45164712875
2020-12-09,21657.925399547967
2020-12-10,21415.582436684843
2020-12-11,21510.846498138613
2020-12-12,21429.553340668182
2020-12-13,20789.679288619882
2020-12-14,21594.318132260843
2020-12-15,22041.13088473104
2020-12-16,22077.71618893628
2020-12-17,23129.732534250405
2020-12-18,24748.165455252383
2020-12-19,25463.916887736686
2020-12-20,26377.923230617336
2020-12-21,25969.472788193285
2020-12-22,26220.74650727784
2020-12-23,26346.861206845846
2020-12-24,25777.764669033088
2020-12-25,26132.38794894315
2020-12-26,27354.006654837052
2020-12-27,28705.1399641788
2020-12-28,28827.342452715333
2020-12-29,29457.760405574445
2020-12-30,29745.032429400682
2020-12-31,30807.599428465743
2021-01-01,31281.275090186442
2021-01-02,31408.0807436439
2021-01-03,33197.14958411288
2021-01-04,34474.44419741919
2021-01-05,34088.94376018327
2021-01-06,35296.10180562677
