price
9.747498883928570649e+03
9.690958984375000000e+03
9.728944196428570649e+03
9.759426618303570649e+03
9.691018694196429351e+03
9.664634486607143117e+03
9.639148437500000000e+03
9.585996372767856883e+03
9.540169642857143117e+03
9.503358816964286234e+03
9.447667410714286234e+03
9.460533063616070649e+03
9.432986607142856883e+03
9.412567103794643117e+03
9.400687360491070649e+03
9.428975306919643117e+03
9.442065848214286234e+03
9.418259486607143117e+03
9.397255580357143117e+03
9.379384068080356883e+03
9.338391183035713766e+03
9.315527204241070649e+03
9.250118164062500000e+03
9.179880301339286234e+03
9.167696707589286234e+03
9.147496233258929351e+03
9.136694196428570649e+03
9.149136718750000000e+03
9.139188197544643117e+03
9.165562500000000000e+03
9.181888811383929351e+03
9.210461356026786234e+03
9.232541015625000000e+03
9.259898716517856883e+03
9.275307059151786234e+03
9.304243861607143117e+03
9.285406668526786234e+03
9.284111886160713766e+03
9.250469587053570649e+03
9.229649553571429351e+03
9.211447405133929351e+03
9.199832170758929351e+03
9.186877511160713766e+03
9.175537109375000000e+03
9.194347656250000000e+03
9.241851422991070649e+03
9.305972098214286234e+03
9.361043526785713766e+03
9.435053989955356883e+03
9.537818219866070649e+03
9.798767020089286234e+03
1.001847209821428623e+04
1.024348702566964312e+04
1.046207868303571377e+04
1.071730357142857065e+04
1.101480064174107065e+04
1.117886453683035688e+04
1.121536104910714312e+04
1.125722809709821377e+04
1.134959305245535688e+04
1.144510156250000000e+04
1.148481668526785688e+04
1.148402427455357065e+04
1.157289927455357065e+04
1.166315108816964312e+04
1.169238434709821377e+04
1.166922893415178623e+04
1.166985239955357065e+04
1.169376646205357065e+04
1.170971679687500000e+04
1.174072600446428623e+04
1.179448186383928623e+04
1.187744015066964312e+04
1.190220424107142935e+04
1.191566629464285688e+04
1.189046888950892935e+04
1.186420131138392935e+04
1.183163616071428623e+04
1.176309235491071377e+04
1.167379255022321377e+04
1.163523256138392935e+04
1.155595047433035688e+04
1.154880915178571377e+04
1.152381487165178623e+04
1.153048032924107065e+04
1.151708384486607065e+04
1.160341866629464312e+04
1.159280022321428623e+04
1.143878585379464312e+04
1.129154492187500000e+04
1.110050237165178623e+04
1.089605175781250000e+04
1.070872935267857065e+04
1.044602050781250000e+04
1.027863671875000000e+04
1.029547126116071377e+04
1.027962862723214312e+04
1.031857198660714312e+04
1.032477260044642935e+04
1.036924037388392935e+04
1.046430245535714312e+04
1.056895354352678623e+04
1.065264662388392935e+04
1.073031389508928623e+04
1.082348186383928623e+04
1.091126981026785688e+04
1.088004436383928623e+04
1.084311704799107065e+04
1.073611118861607065e+04
1.070704813058035688e+04
1.067243443080357065e+04
1.062387597656250000e+04
1.060046958705357065e+04
1.063747921316964312e+04
1.068181780133928623e+04
1.076206835937500000e+04
1.074460853794642935e+04
1.072787625558035688e+04
1.070088420758928623e+04
1.068802734375000000e+04
1.069983789062500000e+04
1.066738560267857065e+04
1.065188825334821377e+04
1.069478794642857065e+04
1.079638755580357065e+04
1.091334305245535688e+04
1.101978278459821377e+04
1.111854687500000000e+04
1.121861244419642935e+04
1.131560742187500000e+04
1.139556905691964312e+04
1.145923702566964312e+04
1.153525892857142935e+04
1.173442787388392935e+04
1.194450530133928623e+04
1.217442187500000000e+04
1.242441629464285688e+04
1.264553264508928623e+04
1.283599135044642935e+04
1.308426046316964312e+04
1.314820270647321377e+04
1.321563002232142935e+04
1.330348479352678623e+04
1.339961802455357065e+04
1.350046595982142935e+04
